"Gene","Description"
"Tb927.11.18350","variant surface glycoprotein (VSG), putative"
"Tb927.11.18370","variant surface glycoprotein (VSG), putative"
"Tb927.11.18380","Variant Surface Glycoprotein, putative"
"Tb927.11.18390","Variant Surface Glycoprotein, putative"
"Tb927.11.18410","variant surface glycoprotein (VSG), pseudogene"
"Tb927.11.18420","variant surface glycoprotein (VSG), pseudogene"
"Tb927.11.18440","variant surface glycoprotein (VSG), pseudogene"
"Tb927.11.18450","variant surface glycoprotein (VSG), pseudogene"
"Tb927.11.18460","variant surface glycoprotein (VSG, pseudogene), putative"
"Tb927.11.18470","Variant Surface Glycoprotein, putative"
"Tb927.11.18480","Variant Surface Glycoprotein, putative"
"Tb927.11.18490","Variant Surface Glycoprotein, putative"
"Tb927.11.18510","variant surface glycoprotein (VSG, atypical), putative"
"Tb927.11.18520","variant surface glycoprotein (VSG, atypical), putative"
"Tb927.11.18530","variant surface glycoprotein (VSG, atypical), putative"
"Tb927.11.18540","variant surface glycoprotein (VSG), putative"
"Tb927.11.18550","variant surface glycoprotein (VSG), putative"
"Tb927.11.18560","variant surface glycoprotein (VSG), putative"
"Tb927.11.18580","variant surface glycoprotein (VSG), putative"
"Tb927.11.18590","variant surface glycoprotein (VSG), putative"
"Tb927.11.18610","retrotransposon hot spot protein (RHS, pseudogene), putative"
"Tb927.11.18620","variant surface glycoprotein (VSG), putative"
"Tb927.11.18630","ingi-related retroposon, putative (pseudogene)"
"Tb927.11.18640","variant surface glycoprotein (VSG), putative"
"Tb927.11.1870","histone H1, putative"
"Tb927.11.1930","ubiquitin carboxyl-terminal hydrolase, putative,cysteine peptidase, Clan CA, family C19, putative"
"Tb927.11.3040","hypothetical protein"
"Tb927.11.3070","Ribosome assembly protein rrb1, putative"
"Tb927.11.3230","60S ribosomal protein L44"
"Tb927.11.3260","mitochondrial DNA polymerase I protein D, putative (POLID)"
"Tb927.11.3390","hypothetical protein, conserved"
"Tb927.11.360","ATP-binding protein, putative"
"Tb927.11.3610","nucleobase/nucleoside transporter 8.1 (NT8.1)"
"Tb927.11.3630","nucleobase/nucleoside transporter 8.1"
"Tb927.11.3740","proteasome regulatory ATPase subunit 2 (RPT2)"
"Tb927.11.3750","NADH-cytochrome b5 reductase, putative (B5R)"
"Tb927.11.3900","glycosyltransferase family-like protein, putative"
"Tb927.11.3910","hypothetical protein, conserved"
"Tb927.11.3990","hypothetical protein, conserved"
"Tb927.11.4080","variant surface glycoprotein (VSG)-related, putative"
"Tb927.11.4090","hypothetical protein"
"Tb927.11.4100","variant surface glycoprotein (VSG), putative"
"Tb927.11.4640","calpain-like protein, putative"
"Tb927.11.480","hypothetical protein, conserved"
"Tb927.11.510","RNA-binding protein, UBP2 (UBP2)"
"Tb927.11.5480","phosphotransferase, putative"
"Tb927.11.5700","hypothetical protein, conserved"
"Tb927.11.5750","hypothetical protein, conserved"
"Tb927.11.5770","hypothetical protein, conserved"
"Tb927.11.5950","hypothetical protein, conserved"
"Tb927.11.6120","ABC transporter, putative"
"Tb927.11.6140","40S ribosomal protein S15A, putative"
"Tb927.11.6170","protein transport protein Sec31, putative,cytosolic coat protein, putative"
"Tb927.11.6200","60S ribosomal protein L28, putative"
"Tb927.11.6210","sterol 14-alpha-demethylase,cytochrome P450 51A1,lanosterol 14-alpha-demethylase (CYP51)"
"Tb927.11.6230","pretranslocation protein, alpha subunit, putative,SEC61-like (pretranslocation process) protein, putative"
"Tb927.11.6320","MRB1-associated protein,zinc finger ccch and cchc domain-containing protein"
"Tb927.11.6810","tubulin-tyrsoine ligase-like protein, putative (TTL)"
"Tb927.11.7060","acidocalcisomal pyrophosphatase"
"Tb927.11.7080","acidocalcisomal pyrophosphatase"
"Tb927.11.7120","hypothetical protein, conserved"
"Tb927.11.7211","SNF2 DNA repair protein, putative"
"Tb927.11.7410","MSP-A, putative"
"Tb927.11.7460","glucose-regulated protein 78, putative,luminal binding protein 1 (BiP), putative"
"Tb927.11.7500","hypothetical protein, conserved"
"Tb927.11.7510","glucose-regulated protein 78, putative,luminal binding protein 1 (BiP), putative"
"Tb927.11.7610","gp63-1 surface protease homologue, pseudogene"
"Tb927.11.7620","MSP-A, putative"
"Tb927.11.7630","Gp63-1 surface protease homolog, putative"
"Tb927.11.7640","Gp63-1 surface protease homolog, putative"
"Tb927.11.7650","hypothetical protein"
"Tb927.11.7675","ribosomal protein S20"
"Tb927.11.7710","Gp63-1 surface protease homolog, putative"
"Tb927.11.7750","MSP-A, putative"
"Tb927.11.7760","MSP-A, putative"
"Tb927.11.8480","DNA polymerase kappa, putative,DNA polymerase IV, putative"
"Tb927.11.8490","DNA polymerase kappa, putative"
"Tb927.11.8500","DNA polymerase kappa, putative"
"Tb927.11.850","protein kinase, putative"
"Tb927.11.8510","DNA polymerase kappa, putative"
"Tb927.11.8530","DNA polymerase kappa, putative"
"Tb927.11.8570","unspecified product"
"Tb927.11.8620","unspecified product"
"Tb927.11.8950","leucine rich repeat (TbLRRP1)"
"Tb927.11.9000","cation transporter, putative"
"Tb927.11.9010","cation transporter, putative"
"Tb927.11.9020","cation transporter, putative"
"Tb927.11.9030","cation transporter, putative"
"Tb927.11.9270","differentiation inhibitory kinase (ZFK)"
"Tb927.11.9870","hypothetical protein, conserved"
"Tb927.2.1210","retrotransposon hot spot protein 4 (RHS4), putative"
"Tb927.2.1344","retrotransposon hot spot protein (RHS, pseudogene), putative,retrotransposon hot spot protein 1 (RHS1), interrupted"
"Tb927.2.1350","retrotransposon hot spot protein (RHS, pseudogene), putative,retrotransposon hot spot protein 1 (RHS1), interrupted"
"Tb927.2.1680","cyclophilin-type peptidyl-prolyl cis-trans isomerase, putative"
"Tb927.2.1760","hypothetical protein, conserved"
"Tb927.2.1810","transcription silencer (ISWI)"
"Tb927.2.2510","voltage-dependent anion-selective channel (VDAC)"
"Tb927.2.280","retrotransposon hot spot protein 2 (RHS2), putative"
"Tb927.2.2950","hypothetical protein, conserved"
"Tb927.2.300","DNA-directed RNA polymerase, pseudogene, putative,DNA-directed RNA polymerase, degenerate"
"Tb927.2.3030","ATP-dependent Clp protease subunit, heat shock protein 78 (HSP78), putative"
"Tb927.2.3090","hypothetical protein, conserved"
"Tb927.2.3265","hypothetical protein, Tb specific"
"Tb927.2.3275","hypothetical protein, Tb specific"
"Tb927.2.3280","65 kDa invariant surface glycoprotein"
"Tb927.2.3285","hypothetical protein, Tb specific"
"Tb927.2.3290","65 kDa invariant surface glycoprotein"
"Tb927.2.3295","hypothetical protein, Tb specific"
"Tb927.2.3300","65 kDa invariant surface glycoprotein"
"Tb927.2.3305","hypothetical protein, Tb specific"
"Tb927.2.3310","65 kDa invariant surface glycoprotein"
"Tb927.2.3315","hypothetical protein, Tb specific"
"Tb927.2.370","retrotransposon hot spot protein 1 (RHS1), putative"
"Tb927.2.400","retrotransposon hot spot protein 2 (RHS2), putative"
"Tb927.2.4140","hypothetical protein, conserved"
"Tb927.2.420","DNA-directed RNA polymerase, pseudogene, putative,DNA-directed RNA polymerase, degenerate"
"Tb927.2.4610","branched-chain amino acid aminotransferase, putative"
"Tb927.2.470","retrotransposon hot spot protein 4 (RHS4), putative"
"Tb927.2.4740","ribosomal protein L11, putative"
"Tb927.2.4750","hypothetical protein, conserved"
"Tb927.2.4890","ribosomal protein L11, putative"
"Tb927.2.4900","hypothetical protein, conserved"
"Tb927.2.5290","hypothetical protein, conserved"
"Tb927.2.5300","hypothetical protein, conserved"
"Tb927.2.5320","hypothetical protein, conserved"
"Tb927.2.5330","hypothetical protein, conserved"
"Tb927.2.5340","hypothetical protein, conserved"
"Tb927.2.5500","hypothetical protein, conserved"
"Tb927.2.5530","hypothetical protein, conserved"
"Tb927.2.5540","hypothetical protein, conserved"
"Tb927.2.5600","hypothetical protein, conserved"
"Tb927.2.560","retrotransposon hot spot protein 4 (RHS4), putative"
"Tb927.2.5610","hypothetical protein, conserved"
"Tb927.2.5630","hypothetical protein, conserved"
"Tb927.2.5870","hypothetical protein, conserved"
"Tb927.2.5910","40S ribosomal protein S13, putative"
"Tb927.2.6150","adenosine transporter 2 (TbNT2/927)"
"Tb927.2.6180","iron/ascorbate oxidoreductase family protein, putative"
"Tb927.2.6200","adenosine transporter 2, putative (TbNT3)"
"Tb927.2.6210","iron/ascorbate oxidoreductase family protein, putative"
"Tb927.2.6230","iron/ascorbate oxidoreductase family protein, putative"
"Tb927.2.6270","iron/ascorbate oxidoreductase family protein, putative"
"Tb927.2.6280","adenosine transporter 2, putative (TbNT7)"
"Tb927.2.6310","iron/ascorbate oxidoreductase family protein, putative"
"Tb927.2.6350","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, point mutation"
"Tb927.2.6372","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein (VSG), frameshifted and degenerate pseudogene"
"Tb927.2.6380","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, frameshift"
"Tb927.2.6390","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.2.6400","expression site-associated gene (ESAG, pseudogene), putative,expression site-associated gene 3 (ESAG3), degenerate"
"Tb927.2.6404","UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase (pseudogene), putative,UDP-Gal or UDP- GlcNAc-dependent glycosyltransferase, degenerate"
"Tb927.2.6410","variant surface glycoprotein (VSG, atypical), putative"
"Tb927.2.6430","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, frameshift"
"Tb927.2.6435","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.3.1010","hypothetical protein, conserved"
"Tb927.3.1050","transposase of Tn10"
"Tb927.3.1060","cAMP response protein, putative (CARP4)"
"Tb927.3.1100","hypothetical protein, conserved"
"Tb927.3.110","expression site-associated gene (ESAG, pseudogene), putative,expression site-associated gene 3 (ESAG3), degenerate"
"Tb927.3.1140","hypothetical protein, conserved"
"Tb927.3.120","variant surface glycoprotein (VSG), putative"
"Tb927.3.1230","Ribonuclease 3, putative"
"Tb927.3.1350","hypothetical protein, conserved"
"Tb927.3.140","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.3.1450","hypothetical protein, conserved"
"Tb927.3.1460","hypothetical protein"
"Tb927.3.1470","variant surface glycoprotein (VSG)-related, putative"
"Tb927.3.1490","leucine-rich repeat protein (LRRP), putative"
"Tb927.3.150","variant surface glycoprotein (VSG), putative"
"Tb927.3.1520","variant surface glycoprotein (VSG)-related, putative"
"Tb927.3.160","expression site-associated gene (ESAG, pseudogene), putative,expression site-associated gene 3 (ESAG3), degenerate"
"Tb927.3.170","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.3.180","variant surface glycoprotein (VSG, atypical), putative"
"Tb927.3.190","variant surface glycoprotein (VSG), putative"
"Tb927.3.200","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, truncated, degenerate"
"Tb927.3.2010","hypothetical protein, conserved"
"Tb927.3.210","variant surface glycoprotein (VSG, atypical), putative"
"Tb927.3.230","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.3.2400","palmitoyl acyltransferase 10, putative"
"Tb927.3.2420","hypothetical protein, conserved"
"Tb927.3.2440","serine/threonine-protein kinase, putative,protein kinase, putative"
"Tb927.3.2520","expression site-associated gene 1 (ESAG1) protein, putative"
"Tb927.3.2540","variant surface glycoprotein (VSG)-related, putative"
"Tb927.3.2550","hypothetical protein, conserved"
"Tb927.3.2560","hypothetical protein, conserved"
"Tb927.3.2570","hypothetical protein, conserved"
"Tb927.3.260","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, fragment"
"Tb927.3.2610","GPI inositol deacylase 2 (GPIdeAc2)"
"Tb927.3.2620","hypothetical protein, conserved"
"Tb927.3.270","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, frameshift"
"Tb927.3.2730","hypothetical protein, conserved"
"Tb927.3.2750","hypothetical protein, conserved"
"Tb927.3.280","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.3.330","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.3.3320","60S ribosomal protein L13, putative"
"Tb927.3.3340","3', 5'-cyclic nucleotide phosphodiesterase, putative (PDED)"
"Tb927.3.3390","kinesin, putative"
"Tb927.3.3400","kinesin, putative"
"Tb927.3.3420","hypothetical protein (pseudogene),hypothetical protein, point mutation"
"Tb927.3.350","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.3.360","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.3.3770","paraflagellar rod component, putative (PFC6)"
"Tb927.3.3790","hypothetical protein, conserved"
"Tb927.3.390","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.3.3990","KREPB6,RNA-editing complex protein (KREPB6)"
"Tb927.3.4090","hypothetical protein, conserved"
"Tb927.3.4190","endosomal integral membrane protein, putative"
"Tb927.3.4280","mismatch repair protein MSH5, putative"
"Tb927.3.4290","PFR1 (PFR1)"
"Tb927.3.4300","73 kDa paraflagellar rod protein,PFR1 (PFR1)"
"Tb927.3.4310","73 kDa paraflagellar rod protein,PFR1 (PFR1)"
"Tb927.3.4320","73 kDa paraflagellar rod protein,PFR1 (PFR1)"
"Tb927.3.4330","73 kDa paraflagellar rod protein,PFR1 (PFR1)"
"Tb927.3.440","variant surface glycoprotein (VSG), putative"
"Tb927.3.4500","fumarate hydratase, class I (FHc)"
"Tb927.3.450","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.3.460","expression site-associated gene (ESAG, pseudogene), putative,expression site-associated gene 3 (ESAG3), degenerate"
"Tb927.3.4720","dynamin, putative,vacuolar sortin protein 1, putative"
"Tb927.3.4730","hypothetical protein, conserved,leucine-rich repeat protein (LRRP), putative"
"Tb927.3.4740","hypothetical protein, conserved"
"Tb927.3.4750","aminopeptidase, putative,metallo-peptidase, Clan MA(E) Family M1"
"Tb927.3.4760","dynamin, putative,vacuolar sortin protein 1, putative"
"Tb927.3.4770","hypothetical protein, conserved,leucine-rich repeat protein (LRRP), putative"
"Tb927.3.4780","hypothetical protein, conserved"
"Tb927.3.4790","aminopeptidase, putative,metallo-peptidase, Clan MA(E) Family M1"
"Tb927.3.4840","ubiquitin hydrolase, putative,cysteine peptidase, Clan CA, family C19, putative"
"Tb927.3.500","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.3.5150","exonuclease, putative"
"Tb927.3.520","expression site-associated gene (ESAG) protein, putative,expression site-associated gene 1 (ESAG1) protein, putative"
"Tb927.3.530","expression site-associated gene (ESAG, pseudogene), putative,expression site-associated gene 11 (ESAG11), degenerate"
"Tb927.3.540","expression site-associated gene (ESAG, pseudogene), putative,expression site-associated gene 1 (ESAG1), truncated"
"Tb927.3.550","expression site-associated gene (ESAG, pseudogene), putative,expression site-associated gene 1 (ESAG1), degenerate"
"Tb927.3.560","expression site-associated gene (ESAG) protein, putative,expression site-associated gene 11 (ESAG11) protein, putative"
"Tb927.3.5670","hypothetical protein"
"Tb927.3.5680","variant surface glycoprotein (VSG)-related, putative"
"Tb927.3.5700","hypothetical protein, conserved"
"Tb927.3.570","expression site-associated gene (ESAG) protein, putative,expression site-associated gene 2 (ESAG2) protein, putative"
"Tb927.3.5710","hypothetical protein, conserved"
"Tb927.3.5720","hypothetical protein, conserved"
"Tb927.3.5730","hypothetical protein, conserved"
"Tb927.3.575","hypothetical protein"
"Tb927.3.580","leucine-rich repeat protein (LRRP), putative"
"Tb927.3.590","adenosine transporter, putative"
"Tb927.3.600","hypothetical protein"
"Tb927.3.990","hypothetical protein, conserved"
"Tb927.4.1340","cleavage and polyadenylation specificity factor subunit, putative (CPSF3)"
"Tb927.4.1790","ribosomal protein L3, putative"
"Tb927.4.1800","ribosomal protein L3, mitochondrial, putative"
"Tb927.4.1900","hypothetical protein, conserved"
"Tb927.4.2040","ALBA-Domain Protein (ALBA3)"
"Tb927.4.2070","antigenic protein, putative"
"Tb927.4.2090","hypothetical protein"
"Tb927.4.2230","dolichyl-P-Man"
"Tb927.4.240","retrotransposon hot spot protein (RHS, pseudogene), putative,retrotransposon hot spot protein 4 (RHS4), degenerate"
"Tb927.4.2500","protein kinase, putative,eukaryotic translation initiation factor 2-alpha kinase precursor, putative"
"Tb927.4.2700","Hydroxymethylglutaryl-CoA lyase, mitochondrial, putative,Hydroxymethylglutaryl-CoA synthase, putative"
"Tb927.4.280","retrotransposon hot spot protein 3 (RHS3), putative"
"Tb927.4.2850","hypothetical protein, conserved"
"Tb927.4.290","retrotransposon hot spot protein 3 (RHS3), putative"
"Tb927.4.3040","hypothetical protein, conserved"
"Tb927.4.310","hypothetical protein, conserved"
"Tb927.4.3460","ubiquitin-conjugating enzyme e2, putative,ubiquitin carrier protein, putative,ubiquitin-protein ligase, putative"
"Tb927.4.3490","DNA-directed RNA polymerase III subunit, putative,DNA-directed rna polymerase II subunit, putative (RPB6)"
"Tb927.4.3510","DNA-directed RNA polymerase subunit, putative"
"Tb927.4.3570","translation elongation factor 1-beta, putative"
"Tb927.4.3580","hypothetical protein, conserved"
"Tb927.4.3590","translation elongation factor 1-beta, putative"
"Tb927.4.3600","hypothetical protein, conserved"
"Tb927.4.3630","serine threonine-protein phosphatase PP1, putative (PP1-5)"
"Tb927.4.3640","serine threonine-protein phosphatase PP1, putative (PP1-4)"
"Tb927.4.3710","hypothetical protein, conserved"
"Tb927.4.3860","receptor-type adenylate cyclase GRESAG 4, putative"
"Tb927.4.3870","receptor-type adenylate cyclase GRESAG 4, putative"
"Tb927.4.3880","receptor-type adenylate cyclase GRESAG 4, putative"
"Tb927.4.3890","ATP-dependent RNA helicase, putative"
"Tb927.4.3900","hypothetical protein, conserved"
"Tb927.4.3990","amino acid transporter, putative"
"Tb927.4.4000","amino acid transporter, putative"
"Tb927.4.4010","amino acid transporter, putative"
"Tb927.4.4100","hypothetical protein, conserved"
"Tb927.4.4140","hypothetical protein, conserved"
"Tb927.4.4240","hypothetical protein, conserved"
"Tb927.4.4250","UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase, putative"
"Tb927.4.4260","hypothetical protein, conserved"
"Tb927.4.4280","hypothetical protein, conserved"
"Tb927.4.4420","adenylyl cyclase, pseudogene, putative,adenylyl cyclase, frameshift"
"Tb927.4.4430","adenylyl cyclase (GRESAG 4.4)"
"Tb927.4.4440","adenylyl cyclase (GRESAG 4.4)"
"Tb927.4.4450","adenylyl cyclase (GRESAG 4.4)"
"Tb927.4.450","coatomer alpha subunit, putative (TbCoatomerAlpha)"
"Tb927.4.4830","amino acid transporter, putative"
"Tb927.4.4840","amino acid transporter 7, putative (AATP7)"
"Tb927.4.4850","amino acid transporter, putative"
"Tb927.4.4860","amino acid transporter 8, putative (AATP8)"
"Tb927.4.4870","amino acid transporter, putative"
"Tb927.4.500","hypothetical protein, conserved"
"Tb927.4.5010","calreticulin, putative"
"Tb927.4.5050","dihydrolipoamide dehydrogenase, pseudogene, putative,acetoin dehydrogenase e3 component, point mutation,dihydrolipoamide dehydrogenase, point mutation"
"Tb927.4.5100","hypothetical protein, conserved"
"Tb927.4.5240","UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase, putative"
"Tb927.4.5250","UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase, putative"
"Tb927.4.5260","UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase, putative"
"Tb927.4.5270","UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase, putative"
"Tb927.4.5280","UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase, putative"
"Tb927.4.5290","UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase, putative"
"Tb927.4.5320","hypothetical protein, conserved"
"Tb927.4.5380","hypothetical protein, conserved"
"Tb927.4.5390","serine/threonine-protein kinase NrkA,nek1/NIMA-related kinase A (NrkA)"
"Tb927.4.5400","variant surface glycoprotein (VSG, atypical), putative"
"Tb927.4.5410","variant surface glycoprotein (VSG, atypical), putative"
"Tb927.4.5420","variant surface glycoprotein (VSG, atypical), putative"
"Tb927.4.5430","variant surface glycoprotein (VSG, atypical), putative"
"Tb927.4.5450","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.4.5470","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.4.5480","expression site-associated gene (ESAG, pseudogene), putative,expression site-associated gene 3 (ESAG3), degenerate"
"Tb927.4.5490","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, fragment, degenerate"
"Tb927.4.5500","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.4.5550","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, fragment, degenerate"
"Tb927.4.5560","variant surface glycoprotein (VSG), putative"
"Tb927.4.5570","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.4.5620","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.4.5630","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, fragment, degenerate"
"Tb927.4.5720","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.4.5770","expression site-associated gene (ESAG, pseudogene), putative,expression site-associated gene 3 (ESAG3), degenerate"
"Tb927.4.620","hypothetical protein, conserved"
"Tb927.4.750","50S ribosomal protein L7Ae, putative"
"Tb927.4.870","dynein heavy chain, putative"
"Tb927.4.930","50S ribosomal protein L14, putative"
"Tb927.5.100","expression site-associated gene (ESAG, pseudogene), putative,expression site-associated gene 9 (ESAG9), degenerate"
"Tb927.5.1020","disulfide isomerase, putative"
"Tb927.5.110","variant surface glycoprotein (VSG)-related, putative"
"Tb927.5.1400","hypothetical protein"
"Tb927.5.1420","hypothetical protein"
"Tb927.5.1430","64 kDa invariant surface glycoprotein (ISG64)"
"Tb927.5.1460","hypothetical protein, conserved"
"Tb927.5.160","retrotransposon hot spot protein (RHS, pseudogene), putative,retrotransposon hot spot protein (RHS), degenerate"
"Tb927.5.1680","hypothetical protein, conserved"
"Tb927.5.180","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.5.1830","lysosomal/endosomal membrane protein p67,lysosomal membrane glycoprotein"
"Tb927.5.190","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.5.200","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.5.2015","hypothetical protein, Tb specific"
"Tb927.5.2016","hypothetical protein, Tb specific"
"Tb927.5.2017","hypothetical protein, Tb specific"
"Tb927.5.210","expression site-associated gene (ESAG, pseudogene), putative,expression site-associated gene 3 (ESAG3), degenerate"
"Tb927.5.2150","hypothetical protein, conserved"
"Tb927.5.2170","conserved protein"
"Tb927.5.2180","hypothetical protein, conserved"
"Tb927.5.2190","hypothetical protein, conserved"
"Tb927.5.2200","hypothetical protein, conserved"
"Tb927.5.220","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.5.2210","hypothetical protein, conserved"
"Tb927.5.2220","hypothetical protein, conserved"
"Tb927.5.2230","conserved protein"
"Tb927.5.2240","hypothetical protein, conserved"
"Tb927.5.2250","hypothetical protein, conserved"
"Tb927.5.2260","conserved protein"
"Tb927.5.230","variant surface glycoprotein (VSG, atypical), putative"
"Tb927.5.2360","hypothetical protein, conserved"
"Tb927.5.2390","hypothetical protein, conserved"
"Tb927.5.2400","ubiquitin carboxyl-terminal hydrolase, putative,cysteine peptidase, Clan CA, family C19, putative"
"Tb927.5.240","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.5.250","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, fragment, degenerate"
"Tb927.5.2530","hypothetical protein, conserved"
"Tb927.5.260","expression site-associated gene (ESAG, pseudogene), putative,expression site-associated gene 3 (ESAG3), degenerate"
"Tb927.5.280","retrotransposon hot spot protein (RHS, pseudogene), putative,retrotransposon hot spot protein 3 (RHS3), interrupted, degenerate"
"Tb927.5.290","galactokinase, pseudogene, putative,galactokinase, degenerate,galactose kinase, degenerate"
"Tb927.5.300","thymine-7-hydroxylase, putative (TLP5)"
"Tb927.5.300b","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein, putative"
"Tb927.5.3050","poly(ADP-ribose) polymerase, putative"
"Tb927.5.310","hypothetical protein"
"Tb927.5.320","receptor-type adenylate cyclase GRESAG 4, putative,adenylyl cyclase, putative"
"Tb927.5.330","receptor-type adenylate cyclase GRESAG 4, putative,adenylyl cyclase, putative,ATP pyrophosphate-lyase, putative"
"Tb927.5.3440","hypothetical protein, conserved"
"Tb927.5.3470","hypothetical protein, conserved"
"Tb927.5.3680","hypothetical protein, conserved"
"Tb927.5.3750","RNA-binding protein, putative (PPCT1)"
"Tb927.5.3770","hypothetical protein, conserved"
"Tb927.5.380","75 kDa invariant surface glycoprotein, putative (ISG75)"
"Tb927.5.390","75 kDa invariant surface glycoprotein, putative"
"Tb927.5.400","75 kDa invariant surface glycoprotein, putative (ISG75)"
"Tb927.5.4170","histone H4, putative"
"Tb927.5.4190","histone H4, putative"
"Tb927.5.4200","histone H4, putative"
"Tb927.5.4210","histone H4, putative"
"Tb927.5.4220","histone H4, putative"
"Tb927.5.4230","histone H4, putative"
"Tb927.5.4240","histone H4, putative"
"Tb927.5.4250","histone H4, putative"
"Tb927.5.4260","histone H4, putative"
"Tb927.5.430","hypothetical protein"
"Tb927.5.4460","major vault protein, putative (MVP)"
"Tb927.5.4540","receptor-type adenylate cyclase GRESAG 4, putative,adenylyl cyclase, putative,ATP pyrophosphate-lyase, putative"
"Tb927.5.4550","receptor-type adenylate cyclase GRESAG 4, putative,adenylyl cyclase, putative,ATP pyrophosphate-lyase, putative"
"Tb927.5.4560","guanine deaminase, putative,guanase, putative,guanine aminase, putative,guanine aminohydrolase, putative"
"Tb927.5.4590","small GTP-binding rab protein, pseudogene, putative,small GTP-binding rab protein, degenerate"
"Tb927.5.4610","variant surface glycoprotein (VSG, pseudogene)- related, putative,variant surface glycoprotein-related protein, frameshift"
"Tb927.5.4620","expression site-associated gene (ESAG) protein, putative,expression site-associated gene 9 (ESAG9) protein, putative"
"Tb927.5.4630","expression site-associated gene (ESAG) protein, putative,expression site-associated gene 1 (ESAG1) protein, putative"
"Tb927.5.4650","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.5.4660","expression site-associated gene (ESAG, pseudogene), putative,expression site-associated gene 3 (ESAG3), degenerate"
"Tb927.5.4670","variant surface glycoprotein (VSG, atypical), putative"
"Tb927.5.4680","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.5.4690","variant surface glycoprotein (VSG, atypical), putative"
"Tb927.5.4730","variant surface glycoprotein (VSG, atypical), putative"
"Tb927.5.4740","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.5.4820","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.5.4830","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.5.4840","variant surface glycoprotein (VSG, atypical), putative"
